
0p/1s
-----------------------------------
3c / 3c 1a, reusable:  80.12%, success:  57.30%
3c / 3c 0a, reusable: 100.00%, success:  57.00%
4c / 2c 1a, reusable:  73.17%, success:  56.90%
3c / 2c 1a, reusable:  73.17%, success:  49.40%
2c / 4c 0a, reusable:  95.00%, success:  47.90%
4c / 2c 0a, reusable:  95.00%, success:  47.90%
4c / 1c 1a, reusable:  63.38%, success:  41.70%
2c / 3c 1a, reusable:  75.12%, success:  41.42%
2c / 3c 0a, reusable:  95.00%, success:  41.15%
3c / 2c 0a, reusable:  95.00%, success:  41.15%
3c / 1c 1a, reusable:  63.38%, success:  34.95%
2c / 2c 1a, reusable:  68.17%, success:  34.31%
2c / 2c 0a, reusable:  90.00%, success:  27.90%
1c / 4c 0a, reusable:  81.00%, success:  27.32%
4c / 1c 0a, reusable:  81.00%, success:  27.32%
1c / 3c 1a, reusable:  61.13%, success:  22.86%
1c / 3c 0a, reusable:  81.00%, success:  22.67%
3c / 1c 0a, reusable:  81.00%, success:  22.67%
2c / 1c 1a, reusable:  58.38%, success:  22.32%
4c / 0c 1a, reusable:  50.00%, success:  22.32%
1c / 2c 1a, reusable:  54.17%, success:  17.96%
3c / 0c 1a, reusable:  50.00%, success:  17.67%
1c / 2c 0a, reusable:  76.00%, success:  14.11%
2c / 1c 0a, reusable:  76.00%, success:  14.11%
0c / 4c 0a, reusable:  50.00%, success:  11.88%
4c / 0c 0a, reusable:  50.00%, success:  11.88%
1c / 1c 1a, reusable:  44.38%, success:  10.27%
2c / 0c 1a, reusable:  45.00%, success:   9.61%
0c / 3c 1a, reusable:  30.12%, success:   9.50%
0c / 3c 0a, reusable:  50.00%, success:   9.40%
3c / 0c 0a, reusable:  50.00%, success:   9.40%
0c / 2c 1a, reusable:  23.17%, success:   6.90%
1c / 1c 0a, reusable:  62.00%, success:   6.20%
0c / 2c 0a, reusable:  45.00%, success:   5.12%
2c / 0c 0a, reusable:  45.00%, success:   5.12%
1c / 0c 1a, reusable:  31.00%, success:   3.10%
0c / 1c 1a, reusable:  13.37%, success:   3.07%
0c / 1c 0a, reusable:  31.00%, success:   1.65%
1c / 0c 0a, reusable:  31.00%, success:   1.65%

2p/3s
-----------------------------------
4c / 2c 1a, reusable:  50.00%, success:  25.92%
3c / 2c 1a, reusable:  50.00%, success:  20.52%
3c / 3c 0a, reusable:  50.00%, success:  20.52%
4c / 1c 1a, reusable:  50.00%, success:  20.52%
