
-------------------------------------
0p/1s
Recomb: 0p/1s + 0p/1s | 1c/1c0a, Prob: 23.29%
Recomb: 0p/1s + 0p/1s | 0c/0c2a, Prob: 20.67%
Recomb: 0p/1s + 0p/1s | 1c/0c1a, Prob: 19.96%
Recomb: 0p/1s + 0p/1s | 1c/0c0a, Prob: 19.47%
Recomb: 0p/1s + 0p/1s | 0c/1c0a, Prob: 10.00%
Recomb: 0p/1s + 0p/1s | 0c/0c1a, Prob: 6.67%

-------------------------------------
1p/1s
Recomb: 0p/1s + 1p/0s | 3c/3c0a, Prob: 90.00%
Recomb: 0p/1s + 1p/0s | 3c/3c1a, Prob: 86.67%
Recomb: 0p/1s + 1p/0s | 4c/2c1a, Prob: 85.00%
Recomb: 0p/1s + 1p/0s | 3c/3c2a, Prob: 81.67%
Recomb: 0p/1s + 1p/0s | 2c/4c0a, Prob: 81.00%
Recomb: 0p/1s + 1p/0s | 4c/2c0a, Prob: 81.00%
Recomb: 0p/1s + 1p/0s | 3c/2c1a, Prob: 80.00%
Recomb: 0p/1s + 1p/0s | 3c/2c2a, Prob: 78.33%
Recomb: 0p/1s + 1p/0s | 2c/3c0a, Prob: 76.00%
Recomb: 0p/1s + 1p/0s | 3c/2c0a, Prob: 76.00%
Recomb: 0p/1s + 1p/0s | 2c/4c1a, Prob: 74.33%
Recomb: 0p/1s + 1p/0s | 2c/3c1a, Prob: 72.67%
Recomb: 0p/1s + 1p/0s | 4c/1c1a, Prob: 70.67%
Recomb: 0p/1s + 1p/0s | 3c/1c2a, Prob: 70.00%
Recomb: 0p/1s + 1p/0s | 2c/3c2a, Prob: 67.67%
Recomb: 0p/1s + 1p/0s | 1c/4c0a, Prob: 66.50%
Recomb: 0p/1s + 1p/0s | 1c/5c0a, Prob: 66.50%
Recomb: 0p/1s + 1p/0s | 4c/1c0a, Prob: 66.50%
Recomb: 0p/1s + 1p/0s | 2c/2c1a, Prob: 66.00%
Recomb: 0p/1s + 1p/0s | 3c/1c1a, Prob: 65.67%
Recomb: 0p/1s + 1p/0s | 2c/2c2a, Prob: 64.33%
Recomb: 0p/1s + 1p/0s | 2c/2c0a, Prob: 62.00%
Recomb: 0p/1s + 1p/0s | 1c/3c0a, Prob: 61.50%
Recomb: 0p/1s + 1p/0s | 3c/1c0a, Prob: 61.50%
Recomb: 0p/1s + 1p/0s | 1c/4c1a, Prob: 59.83%
Recomb: 0p/1s + 1p/0s | 0c/4c0a, Prob: 59.00%
Recomb: 0p/1s + 1p/0s | 0c/5c0a, Prob: 59.00%
Recomb: 0p/1s + 1p/0s | 4c/0c0a, Prob: 59.00%
Recomb: 0p/1s + 1p/0s | 1c/3c1a, Prob: 58.17%
Recomb: 0p/1s + 1p/0s | 2c/1c2a, Prob: 56.00%
Recomb: 0p/1s + 1p/0s | 4c/0c1a, Prob: 55.50%
Recomb: 0p/1s + 1p/0s | 3c/0c2a, Prob: 55.33%
Recomb: 0p/1s + 1p/0s | 0c/4c1a, Prob: 55.07%
Recomb: 0p/1s + 1p/0s | 0c/3c1a, Prob: 54.08%
Recomb: 0p/1s + 1p/0s | 1c/3c2a, Prob: 53.17%
Recomb: 0p/1s + 1p/0s | 0c/3c0a, Prob: 53.10%
Recomb: 0p/1s + 1p/0s | 3c/0c0a, Prob: 53.10%
Recomb: 0p/1s + 1p/0s | 2c/1c1a, Prob: 51.67%
Recomb: 0p/1s + 1p/0s | 1c/2c1a, Prob: 51.50%
Recomb: 0p/1s + 1p/0s | 0c/3c2a, Prob: 51.13%
Recomb: 0p/1s + 1p/0s | 3c/0c1a, Prob: 50.50%
Recomb: 0p/1s + 1p/0s | 1c/2c2a, Prob: 49.83%
Recomb: 0p/1s + 1p/0s | 0c/2c2a, Prob: 49.17%
Recomb: 0p/1s + 1p/0s | 1c/2c0a, Prob: 47.50%
Recomb: 0p/1s + 1p/0s | 2c/1c0a, Prob: 47.50%
Recomb: 0p/1s + 1p/0s | 0c/2c1a, Prob: 47.20%
Recomb: 0p/1s + 1p/0s | 1c/1c2a, Prob: 41.50%
Recomb: 0p/1s + 1p/0s | 2c/0c2a, Prob: 41.33%
Recomb: 0p/1s + 1p/0s | 0c/1c2a, Prob: 41.30%
Recomb: 0p/1s + 1p/0s | 1c/1c1a, Prob: 37.17%
Recomb: 0p/1s + 1p/0s | 0c/2c0a, Prob: 36.58%
Recomb: 0p/1s + 1p/0s | 2c/0c0a, Prob: 36.58%
Recomb: 0p/1s + 1p/0s | 2c/0c1a, Prob: 36.50%
Recomb: 0p/1s + 1p/0s | 1c/1c0a, Prob: 33.00%
Recomb: 0p/1s + 1p/0s | 0c/1c1a, Prob: 30.48%
Recomb: 0p/1s + 1p/0s | 1c/0c2a, Prob: 26.83%
Recomb: 0p/1s + 1p/0s | 0c/0c2a, Prob: 24.39%
Recomb: 0p/1s + 1p/0s | 1c/0c1a, Prob: 22.00%
Recomb: 0p/1s + 1p/0s | 0c/1c0a, Prob: 19.47%
Recomb: 0p/1s + 1p/0s | 1c/0c0a, Prob: 19.47%
Recomb: 0p/1s + 1p/0s | 0c/0c1a, Prob: 12.98%

-------------------------------------
0p/3s
Recomb: 0p/2s + 0p/1s | 2c/2c1a, Prob: 36.00%
Recomb: 0p/2s + 0p/1s | 2c/3c0a, Prob: 36.00%
Recomb: 0p/2s + 0p/2s | 2c/2c0a, Prob: 36.00%
Recomb: 0p/2s + 0p/1s | 3c/3c0a, Prob: 36.00%
Recomb: 0p/2s + 1p/1s | 1c/1c2a, Prob: 36.00%
Recomb: 0p/2s + 1p/1s | 1c/2c1a, Prob: 36.00%
Recomb: 0p/2s + 1p/1s | 1c/3c0a, Prob: 36.00%
Recomb: 0p/2s + 1p/1s | 2c/2c1a, Prob: 36.00%
Recomb: 0p/2s + 1p/1s | 2c/3c0a, Prob: 36.00%
Recomb: 0p/2s + 1p/1s | 3c/3c0a, Prob: 36.00%
Recomb: 0p/2s + 0p/2s | 2c/0c0a, Prob: 31.00%
Recomb: 0p/2s + 0p/1s | 2c/1c1a, Prob: 28.50%
Recomb: 0p/2s + 0p/1s | 2c/2c0a, Prob: 28.50%
Recomb: 0p/2s + 0p/2s | 2c/1c0a, Prob: 28.50%
Recomb: 0p/2s + 0p/1s | 3c/2c0a, Prob: 28.50%
Recomb: 0p/2s + 1p/1s | 1c/0c2a, Prob: 28.50%
Recomb: 0p/2s + 1p/1s | 1c/1c1a, Prob: 28.50%
Recomb: 0p/2s + 1p/1s | 1c/2c0a, Prob: 28.50%
Recomb: 0p/2s + 1p/1s | 2c/1c1a, Prob: 28.50%
Recomb: 0p/2s + 1p/1s | 2c/2c0a, Prob: 28.50%
Recomb: 0p/2s + 1p/1s | 3c/2c0a, Prob: 28.50%
Recomb: 0p/2s + 0p/1s | 1c/1c2a, Prob: 21.24%
Recomb: 0p/2s + 0p/1s | 1c/2c1a, Prob: 21.24%
Recomb: 0p/2s + 0p/1s | 1c/3c0a, Prob: 21.24%
Recomb: 0p/2s + 0p/2s | 1c/1c1a, Prob: 21.24%
Recomb: 0p/2s + 0p/2s | 1c/2c0a, Prob: 21.24%
Recomb: 0p/2s + 0p/2s | 1c/0c0a, Prob: 18.29%
Recomb: 0p/2s + 0p/1s | 1c/0c2a, Prob: 16.81%
Recomb: 0p/2s + 0p/1s | 1c/1c1a, Prob: 16.81%
Recomb: 0p/2s + 0p/1s | 1c/2c0a, Prob: 16.81%
Recomb: 0p/2s + 0p/2s | 1c/0c1a, Prob: 16.81%
Recomb: 0p/2s + 0p/2s | 1c/1c0a, Prob: 16.81%
Recomb: 0p/2s + 0p/1s | 2c/0c1a, Prob: 15.50%
Recomb: 0p/2s + 0p/1s | 2c/1c0a, Prob: 15.50%
Recomb: 0p/2s + 0p/1s | 3c/1c0a, Prob: 15.50%
Recomb: 0p/2s + 1p/1s | 1c/0c1a, Prob: 15.50%
Recomb: 0p/2s + 1p/1s | 1c/1c0a, Prob: 15.50%
Recomb: 0p/2s + 1p/1s | 2c/0c1a, Prob: 15.50%
Recomb: 0p/2s + 1p/1s | 2c/1c0a, Prob: 15.50%
Recomb: 0p/2s + 1p/1s | 3c/1c0a, Prob: 15.50%
Recomb: 0p/2s + 0p/1s | 2c/0c0a, Prob: 10.00%
Recomb: 0p/2s + 0p/1s | 3c/0c0a, Prob: 10.00%
Recomb: 0p/2s + 1p/1s | 1c/0c0a, Prob: 10.00%
