
-------------------------------------
0p/1s
Recomb: 1p/1s + 1p/1s | 1c/1c0a, Prob: 6.20%
Recomb: 1p/2s + 1p/0s | 1c/1c0a, Prob: 6.20%
Recomb: 1p/2s + 1p/1s | 1c/0c0a, Prob: 6.20%
Recomb: 1p/2s + 2p/0s | 0c/1c0a, Prob: 6.20%
Recomb: 1p/2s + 2p/1s | 0c/0c0a, Prob: 6.20%
Recomb: 2p/1s + 0p/1s | 1c/1c0a, Prob: 6.20%
Recomb: 2p/1s + 0p/2s | 1c/0c0a, Prob: 6.20%
Recomb: 2p/1s + 1p/1s | 0c/1c0a, Prob: 6.20%
Recomb: 0p/2s + 2p/0s | 0c/0c2a, Prob: 6.14%
Recomb: 1p/1s + 1p/1s | 0c/0c2a, Prob: 6.14%
Recomb: 1p/2s + 1p/0s | 0c/0c2a, Prob: 6.14%
Recomb: 1p/2s + 1p/1s | 0c/0c1a, Prob: 6.14%
Recomb: 2p/1s + 0p/1s | 0c/0c2a, Prob: 6.14%
Recomb: 2p/1s + 0p/2s | 0c/0c1a, Prob: 6.14%
Recomb: 1p/2s + 3p/0s | 0c/0c1a, Prob: 5.40%
Recomb: 2p/1s + 2p/1s | 0c/0c1a, Prob: 5.40%
Recomb: 1p/2s + 1p/2s | 0c/0c0a, Prob: 5.12%
Recomb: 1p/2s + 3p/0s | 0c/0c0a, Prob: 5.12%
Recomb: 2p/1s + 0p/3s | 0c/0c0a, Prob: 5.12%
Recomb: 2p/1s + 2p/1s | 0c/0c0a, Prob: 5.12%
Recomb: 0p/2s + 2p/0s | 1c/0c1a, Prob: 3.72%
Recomb: 1p/1s + 1p/1s | 1c/0c1a, Prob: 3.72%
Recomb: 1p/2s + 1p/0s | 1c/0c1a, Prob: 3.72%
Recomb: 1p/2s + 2p/0s | 0c/0c1a, Prob: 3.72%
Recomb: 2p/1s + 0p/1s | 1c/0c1a, Prob: 3.72%
Recomb: 2p/1s + 1p/1s | 0c/0c1a, Prob: 3.72%
Recomb: 0p/2s + 2p/0s | 0c/1c0a, Prob: 3.30%
Recomb: 0p/2s + 2p/0s | 1c/0c0a, Prob: 3.30%
Recomb: 1p/1s + 1p/1s | 0c/1c0a, Prob: 3.30%
Recomb: 1p/1s + 1p/1s | 1c/0c0a, Prob: 3.30%
Recomb: 1p/2s + 1p/0s | 0c/1c0a, Prob: 3.30%
Recomb: 1p/2s + 1p/0s | 1c/0c0a, Prob: 3.30%
Recomb: 2p/1s + 0p/1s | 0c/1c0a, Prob: 3.30%
Recomb: 2p/1s + 0p/1s | 1c/0c0a, Prob: 3.30%
Recomb: 0p/2s + 2p/0s | 0c/0c1a, Prob: 1.98%
Recomb: 1p/1s + 1p/1s | 0c/0c1a, Prob: 1.98%
Recomb: 1p/2s + 1p/0s | 0c/0c1a, Prob: 1.98%
Recomb: 2p/1s + 0p/1s | 0c/0c1a, Prob: 1.98%
Recomb: 1p/2s + 1p/1s | 0c/0c0a, Prob: 1.65%
Recomb: 1p/2s + 2p/0s | 0c/0c0a, Prob: 1.65%
Recomb: 2p/1s + 0p/2s | 0c/0c0a, Prob: 1.65%
Recomb: 2p/1s + 1p/1s | 0c/0c0a, Prob: 1.65%

-------------------------------------
2p/3s
Recomb: 0p/3s + 3p/0s | 3c/3c0a, Prob: 25.92%
Recomb: 1p/2s + 2p/1s | 3c/3c0a, Prob: 25.92%
Recomb: 1p/3s + 2p/0s | 3c/3c0a, Prob: 25.92%
Recomb: 1p/3s + 3p/0s | 2c/2c1a, Prob: 25.92%
Recomb: 1p/3s + 3p/0s | 2c/3c0a, Prob: 25.92%
Recomb: 1p/3s + 3p/1s | 2c/2c0a, Prob: 25.92%
Recomb: 2p/2s + 1p/1s | 3c/3c0a, Prob: 25.92%
Recomb: 2p/2s + 2p/1s | 2c/2c1a, Prob: 25.92%
Recomb: 2p/2s + 2p/1s | 2c/3c0a, Prob: 25.92%
Recomb: 2p/2s + 2p/2s | 2c/2c0a, Prob: 25.92%
Recomb: 2p/2s + 3p/1s | 1c/1c2a, Prob: 25.92%
Recomb: 2p/2s + 3p/1s | 1c/2c1a, Prob: 25.92%
Recomb: 2p/2s + 3p/1s | 1c/3c0a, Prob: 25.92%
Recomb: 1p/3s + 3p/1s | 2c/0c0a, Prob: 22.32%
Recomb: 2p/2s + 2p/2s | 2c/0c0a, Prob: 22.32%
Recomb: 0p/3s + 2p/0s | 3c/3c0a, Prob: 20.52%
Recomb: 0p/3s + 3p/0s | 2c/2c1a, Prob: 20.52%
Recomb: 0p/3s + 3p/0s | 2c/3c0a, Prob: 20.52%
Recomb: 0p/3s + 3p/0s | 3c/2c0a, Prob: 20.52%
Recomb: 1p/2s + 1p/1s | 3c/3c0a, Prob: 20.52%
Recomb: 1p/2s + 2p/1s | 2c/2c1a, Prob: 20.52%
Recomb: 1p/2s + 2p/1s | 2c/3c0a, Prob: 20.52%
Recomb: 1p/2s + 2p/1s | 3c/2c0a, Prob: 20.52%
Recomb: 1p/3s + 1p/0s | 3c/3c0a, Prob: 20.52%
Recomb: 1p/3s + 2p/0s | 2c/2c1a, Prob: 20.52%
Recomb: 1p/3s + 2p/0s | 2c/3c0a, Prob: 20.52%
Recomb: 1p/3s + 2p/1s | 2c/2c0a, Prob: 20.52%
Recomb: 1p/3s + 2p/0s | 3c/2c0a, Prob: 20.52%
Recomb: 1p/3s + 3p/0s | 1c/1c2a, Prob: 20.52%
Recomb: 1p/3s + 3p/0s | 1c/2c1a, Prob: 20.52%
Recomb: 1p/3s + 3p/0s | 1c/3c0a, Prob: 20.52%
Recomb: 1p/3s + 3p/1s | 1c/1c1a, Prob: 20.52%
Recomb: 1p/3s + 3p/1s | 1c/2c0a, Prob: 20.52%
Recomb: 1p/3s + 3p/0s | 2c/1c1a, Prob: 20.52%
Recomb: 1p/3s + 3p/0s | 2c/2c0a, Prob: 20.52%
Recomb: 1p/3s + 3p/1s | 2c/1c0a, Prob: 20.52%
Recomb: 2p/1s + 0p/2s | 3c/3c0a, Prob: 20.52%
Recomb: 2p/2s + 0p/1s | 3c/3c0a, Prob: 20.52%
Recomb: 2p/2s + 1p/1s | 2c/2c1a, Prob: 20.52%
Recomb: 2p/2s + 1p/1s | 2c/3c0a, Prob: 20.52%
Recomb: 2p/2s + 1p/2s | 2c/2c0a, Prob: 20.52%
Recomb: 2p/2s + 1p/1s | 3c/2c0a, Prob: 20.52%
Recomb: 2p/2s + 2p/1s | 1c/1c2a, Prob: 20.52%
Recomb: 2p/2s + 2p/1s | 1c/2c1a, Prob: 20.52%
Recomb: 2p/2s + 2p/1s | 1c/3c0a, Prob: 20.52%
Recomb: 2p/2s + 2p/2s | 1c/1c1a, Prob: 20.52%
Recomb: 2p/2s + 2p/2s | 1c/2c0a, Prob: 20.52%
Recomb: 2p/2s + 2p/1s | 2c/1c1a, Prob: 20.52%
Recomb: 2p/2s + 2p/1s | 2c/2c0a, Prob: 20.52%
Recomb: 2p/2s + 2p/2s | 2c/1c0a, Prob: 20.52%
Recomb: 2p/2s + 3p/1s | 1c/0c2a, Prob: 20.52%
Recomb: 2p/2s + 3p/1s | 1c/1c1a, Prob: 20.52%
Recomb: 2p/2s + 3p/1s | 1c/2c0a, Prob: 20.52%
Recomb: 1p/3s + 2p/2s | 1c/0c0a, Prob: 17.67%
Recomb: 1p/3s + 2p/1s | 2c/0c0a, Prob: 17.67%
Recomb: 1p/3s + 3p/1s | 1c/0c0a, Prob: 17.67%
Recomb: 2p/2s + 1p/2s | 2c/0c0a, Prob: 17.67%
Recomb: 2p/2s + 2p/2s | 1c/0c0a, Prob: 17.67%
Recomb: 0p/3s + 2p/0s | 3c/2c0a, Prob: 16.24%
Recomb: 0p/3s + 3p/0s | 2c/1c1a, Prob: 16.24%
Recomb: 0p/3s + 3p/0s | 2c/2c0a, Prob: 16.24%
Recomb: 1p/2s + 1p/1s | 3c/2c0a, Prob: 16.24%
Recomb: 1p/2s + 2p/1s | 2c/1c1a, Prob: 16.24%
Recomb: 1p/2s + 2p/1s | 2c/2c0a, Prob: 16.24%
Recomb: 1p/3s + 1p/0s | 3c/2c0a, Prob: 16.24%
Recomb: 1p/3s + 2p/0s | 2c/1c1a, Prob: 16.24%
Recomb: 1p/3s + 2p/0s | 2c/2c0a, Prob: 16.24%
Recomb: 1p/3s + 2p/1s | 2c/1c0a, Prob: 16.24%
Recomb: 1p/3s + 3p/0s | 1c/0c2a, Prob: 16.24%
Recomb: 1p/3s + 3p/0s | 1c/1c1a, Prob: 16.24%
Recomb: 1p/3s + 3p/0s | 1c/2c0a, Prob: 16.24%
Recomb: 1p/3s + 3p/1s | 1c/0c1a, Prob: 16.24%
Recomb: 1p/3s + 3p/1s | 1c/1c0a, Prob: 16.24%
Recomb: 2p/1s + 0p/2s | 3c/2c0a, Prob: 16.24%
Recomb: 2p/2s + 0p/1s | 3c/2c0a, Prob: 16.24%
Recomb: 2p/2s + 1p/1s | 2c/1c1a, Prob: 16.24%
Recomb: 2p/2s + 1p/1s | 2c/2c0a, Prob: 16.24%
Recomb: 2p/2s + 1p/2s | 2c/1c0a, Prob: 16.24%
Recomb: 2p/2s + 2p/1s | 1c/0c2a, Prob: 16.24%
Recomb: 2p/2s + 2p/1s | 1c/1c1a, Prob: 16.24%
Recomb: 2p/2s + 2p/1s | 1c/2c0a, Prob: 16.24%
Recomb: 2p/2s + 2p/2s | 1c/0c1a, Prob: 16.24%
Recomb: 2p/2s + 2p/2s | 1c/1c0a, Prob: 16.24%
Recomb: 0p/3s + 2p/0s | 2c/2c1a, Prob: 11.16%
Recomb: 0p/3s + 2p/0s | 2c/3c0a, Prob: 11.16%
Recomb: 0p/3s + 2p/1s | 2c/2c0a, Prob: 11.16%
Recomb: 0p/3s + 3p/0s | 1c/1c2a, Prob: 11.16%
Recomb: 0p/3s + 3p/0s | 1c/2c1a, Prob: 11.16%
Recomb: 0p/3s + 3p/0s | 1c/3c0a, Prob: 11.16%
Recomb: 0p/3s + 3p/0s | 3c/1c0a, Prob: 11.16%
Recomb: 1p/2s + 1p/1s | 2c/2c1a, Prob: 11.16%
Recomb: 1p/2s + 1p/1s | 2c/3c0a, Prob: 11.16%
Recomb: 1p/2s + 1p/2s | 2c/2c0a, Prob: 11.16%
Recomb: 1p/2s + 2p/1s | 1c/1c2a, Prob: 11.16%
Recomb: 1p/2s + 2p/1s | 1c/2c1a, Prob: 11.16%
Recomb: 1p/2s + 2p/1s | 1c/3c0a, Prob: 11.16%
Recomb: 1p/2s + 2p/1s | 3c/1c0a, Prob: 11.16%
Recomb: 1p/3s + 1p/0s | 2c/2c1a, Prob: 11.16%
Recomb: 1p/3s + 1p/0s | 2c/3c0a, Prob: 11.16%
Recomb: 1p/3s + 1p/1s | 2c/2c0a, Prob: 11.16%
Recomb: 1p/3s + 2p/0s | 1c/1c2a, Prob: 11.16%
Recomb: 1p/3s + 2p/0s | 1c/2c1a, Prob: 11.16%
Recomb: 1p/3s + 2p/0s | 1c/3c0a, Prob: 11.16%
Recomb: 1p/3s + 2p/1s | 1c/1c1a, Prob: 11.16%
Recomb: 1p/3s + 2p/1s | 1c/2c0a, Prob: 11.16%
Recomb: 1p/3s + 2p/2s | 1c/1c0a, Prob: 11.16%
Recomb: 1p/3s + 2p/0s | 3c/1c0a, Prob: 11.16%
Recomb: 1p/3s + 3p/0s | 2c/0c1a, Prob: 11.16%
Recomb: 1p/3s + 3p/0s | 2c/1c0a, Prob: 11.16%
Recomb: 2p/1s + 0p/2s | 2c/2c1a, Prob: 11.16%
Recomb: 2p/1s + 0p/2s | 2c/3c0a, Prob: 11.16%
Recomb: 2p/2s + 0p/1s | 2c/2c1a, Prob: 11.16%
Recomb: 2p/2s + 0p/1s | 2c/3c0a, Prob: 11.16%
Recomb: 2p/2s + 0p/2s | 2c/2c0a, Prob: 11.16%
Recomb: 2p/2s + 1p/1s | 1c/1c2a, Prob: 11.16%
Recomb: 2p/2s + 1p/1s | 1c/2c1a, Prob: 11.16%
Recomb: 2p/2s + 1p/1s | 1c/3c0a, Prob: 11.16%
Recomb: 2p/2s + 1p/2s | 1c/1c1a, Prob: 11.16%
Recomb: 2p/2s + 1p/2s | 1c/2c0a, Prob: 11.16%
Recomb: 2p/2s + 1p/1s | 3c/1c0a, Prob: 11.16%
Recomb: 2p/2s + 2p/1s | 2c/0c1a, Prob: 11.16%
Recomb: 2p/2s + 2p/1s | 2c/1c0a, Prob: 11.16%
Recomb: 2p/2s + 3p/1s | 1c/0c1a, Prob: 11.16%
Recomb: 2p/2s + 3p/1s | 1c/1c0a, Prob: 11.16%
Recomb: 0p/3s + 2p/1s | 2c/0c0a, Prob: 9.61%
Recomb: 1p/2s + 1p/2s | 2c/0c0a, Prob: 9.61%
Recomb: 1p/3s + 1p/1s | 2c/0c0a, Prob: 9.61%
Recomb: 1p/3s + 2p/1s | 1c/0c0a, Prob: 9.61%
Recomb: 2p/2s + 0p/2s | 2c/0c0a, Prob: 9.61%
Recomb: 2p/2s + 1p/2s | 1c/0c0a, Prob: 9.61%
Recomb: 0p/3s + 2p/0s | 2c/1c1a, Prob: 8.83%
Recomb: 0p/3s + 2p/0s | 2c/2c0a, Prob: 8.83%
Recomb: 0p/3s + 2p/1s | 2c/1c0a, Prob: 8.83%
Recomb: 0p/3s + 2p/0s | 3c/1c0a, Prob: 8.83%
Recomb: 0p/3s + 3p/0s | 1c/0c2a, Prob: 8.83%
Recomb: 0p/3s + 3p/0s | 1c/1c1a, Prob: 8.83%
Recomb: 0p/3s + 3p/0s | 1c/2c0a, Prob: 8.83%
Recomb: 0p/3s + 3p/0s | 2c/0c1a, Prob: 8.83%
Recomb: 0p/3s + 3p/0s | 2c/1c0a, Prob: 8.83%
Recomb: 1p/2s + 1p/1s | 2c/1c1a, Prob: 8.83%
Recomb: 1p/2s + 1p/1s | 2c/2c0a, Prob: 8.83%
Recomb: 1p/2s + 1p/2s | 2c/1c0a, Prob: 8.83%
Recomb: 1p/2s + 1p/1s | 3c/1c0a, Prob: 8.83%
Recomb: 1p/2s + 2p/1s | 1c/0c2a, Prob: 8.83%
Recomb: 1p/2s + 2p/1s | 1c/1c1a, Prob: 8.83%
Recomb: 1p/2s + 2p/1s | 1c/2c0a, Prob: 8.83%
Recomb: 1p/2s + 2p/1s | 2c/0c1a, Prob: 8.83%
Recomb: 1p/2s + 2p/1s | 2c/1c0a, Prob: 8.83%
Recomb: 1p/3s + 1p/0s | 2c/1c1a, Prob: 8.83%
Recomb: 1p/3s + 1p/0s | 2c/2c0a, Prob: 8.83%
Recomb: 1p/3s + 1p/1s | 2c/1c0a, Prob: 8.83%
Recomb: 1p/3s + 1p/0s | 3c/1c0a, Prob: 8.83%
Recomb: 1p/3s + 2p/0s | 1c/0c2a, Prob: 8.83%
Recomb: 1p/3s + 2p/0s | 1c/1c1a, Prob: 8.83%
Recomb: 1p/3s + 2p/0s | 1c/2c0a, Prob: 8.83%
Recomb: 1p/3s + 2p/1s | 1c/0c1a, Prob: 8.83%
Recomb: 1p/3s + 2p/1s | 1c/1c0a, Prob: 8.83%
Recomb: 1p/3s + 2p/0s | 2c/0c1a, Prob: 8.83%
Recomb: 1p/3s + 2p/0s | 2c/1c0a, Prob: 8.83%
Recomb: 1p/3s + 3p/0s | 1c/0c1a, Prob: 8.83%
Recomb: 1p/3s + 3p/0s | 1c/1c0a, Prob: 8.83%
Recomb: 2p/1s + 0p/2s | 2c/1c1a, Prob: 8.83%
Recomb: 2p/1s + 0p/2s | 2c/2c0a, Prob: 8.83%
Recomb: 2p/1s + 0p/2s | 3c/1c0a, Prob: 8.83%
Recomb: 2p/2s + 0p/1s | 2c/1c1a, Prob: 8.83%
Recomb: 2p/2s + 0p/1s | 2c/2c0a, Prob: 8.83%
Recomb: 2p/2s + 0p/2s | 2c/1c0a, Prob: 8.83%
Recomb: 2p/2s + 0p/1s | 3c/1c0a, Prob: 8.83%
Recomb: 2p/2s + 1p/1s | 1c/0c2a, Prob: 8.83%
Recomb: 2p/2s + 1p/1s | 1c/1c1a, Prob: 8.83%
Recomb: 2p/2s + 1p/1s | 1c/2c0a, Prob: 8.83%
Recomb: 2p/2s + 1p/2s | 1c/0c1a, Prob: 8.83%
Recomb: 2p/2s + 1p/2s | 1c/1c0a, Prob: 8.83%
Recomb: 2p/2s + 1p/1s | 2c/0c1a, Prob: 8.83%
Recomb: 2p/2s + 1p/1s | 2c/1c0a, Prob: 8.83%
Recomb: 2p/2s + 2p/1s | 1c/0c1a, Prob: 8.83%
Recomb: 2p/2s + 2p/1s | 1c/1c0a, Prob: 8.83%
Recomb: 0p/3s + 3p/0s | 3c/0c0a, Prob: 7.20%
Recomb: 1p/2s + 2p/1s | 3c/0c0a, Prob: 7.20%
Recomb: 1p/3s + 2p/0s | 3c/0c0a, Prob: 7.20%
Recomb: 1p/3s + 3p/0s | 2c/0c0a, Prob: 7.20%
Recomb: 2p/2s + 1p/1s | 3c/0c0a, Prob: 7.20%
Recomb: 2p/2s + 2p/1s | 2c/0c0a, Prob: 7.20%
Recomb: 2p/2s + 3p/1s | 1c/0c0a, Prob: 7.20%
Recomb: 0p/3s + 2p/0s | 3c/0c0a, Prob: 5.70%
Recomb: 0p/3s + 3p/0s | 2c/0c0a, Prob: 5.70%
Recomb: 1p/2s + 1p/1s | 3c/0c0a, Prob: 5.70%
Recomb: 1p/2s + 2p/1s | 2c/0c0a, Prob: 5.70%
Recomb: 1p/3s + 1p/2s | 1c/0c0a, Prob: 5.70%
Recomb: 1p/3s + 1p/0s | 3c/0c0a, Prob: 5.70%
Recomb: 1p/3s + 2p/0s | 2c/0c0a, Prob: 5.70%
Recomb: 1p/3s + 3p/0s | 1c/0c0a, Prob: 5.70%
Recomb: 2p/1s + 0p/2s | 3c/0c0a, Prob: 5.70%
Recomb: 2p/2s + 0p/3s | 1c/0c0a, Prob: 5.70%
Recomb: 2p/2s + 0p/1s | 3c/0c0a, Prob: 5.70%
Recomb: 2p/2s + 1p/1s | 2c/0c0a, Prob: 5.70%
Recomb: 2p/2s + 2p/1s | 1c/0c0a, Prob: 5.70%
Recomb: 0p/3s + 2p/0s | 2c/0c1a, Prob: 4.81%
Recomb: 0p/3s + 2p/0s | 2c/1c0a, Prob: 4.81%
Recomb: 0p/3s + 3p/0s | 1c/0c1a, Prob: 4.81%
Recomb: 0p/3s + 3p/0s | 1c/1c0a, Prob: 4.81%
Recomb: 1p/2s + 1p/1s | 2c/0c1a, Prob: 4.81%
Recomb: 1p/2s + 1p/1s | 2c/1c0a, Prob: 4.81%
Recomb: 1p/2s + 2p/1s | 1c/0c1a, Prob: 4.81%
Recomb: 1p/2s + 2p/1s | 1c/1c0a, Prob: 4.81%
Recomb: 1p/3s + 1p/0s | 2c/0c1a, Prob: 4.81%
Recomb: 1p/3s + 1p/0s | 2c/1c0a, Prob: 4.81%
Recomb: 1p/3s + 2p/0s | 1c/0c1a, Prob: 4.81%
Recomb: 1p/3s + 2p/0s | 1c/1c0a, Prob: 4.81%
Recomb: 1p/3s + 3p/1s | 0c/0c0a, Prob: 4.81%
Recomb: 2p/1s + 0p/2s | 2c/0c1a, Prob: 4.81%
Recomb: 2p/1s + 0p/2s | 2c/1c0a, Prob: 4.81%
Recomb: 2p/2s + 0p/1s | 2c/0c1a, Prob: 4.81%
Recomb: 2p/2s + 0p/1s | 2c/1c0a, Prob: 4.81%
Recomb: 2p/2s + 1p/1s | 1c/0c1a, Prob: 4.81%
Recomb: 2p/2s + 1p/1s | 1c/1c0a, Prob: 4.81%
Recomb: 2p/2s + 2p/2s | 0c/0c0a, Prob: 4.81%
Recomb: 0p/3s + 2p/0s | 1c/1c2a, Prob: 3.60%
Recomb: 0p/3s + 2p/0s | 1c/2c1a, Prob: 3.60%
Recomb: 0p/3s + 2p/0s | 1c/3c0a, Prob: 3.60%
Recomb: 0p/3s + 2p/1s | 1c/1c1a, Prob: 3.60%
Recomb: 0p/3s + 2p/1s | 1c/2c0a, Prob: 3.60%
Recomb: 1p/2s + 1p/1s | 1c/1c2a, Prob: 3.60%
Recomb: 1p/2s + 1p/1s | 1c/2c1a, Prob: 3.60%
Recomb: 1p/2s + 1p/1s | 1c/3c0a, Prob: 3.60%
Recomb: 1p/2s + 1p/2s | 1c/1c1a, Prob: 3.60%
Recomb: 1p/2s + 1p/2s | 1c/2c0a, Prob: 3.60%
Recomb: 1p/3s + 1p/0s | 1c/1c2a, Prob: 3.60%
Recomb: 1p/3s + 1p/0s | 1c/2c1a, Prob: 3.60%
Recomb: 1p/3s + 1p/0s | 1c/3c0a, Prob: 3.60%
Recomb: 1p/3s + 1p/1s | 1c/1c1a, Prob: 3.60%
Recomb: 1p/3s + 1p/1s | 1c/2c0a, Prob: 3.60%
Recomb: 1p/3s + 1p/2s | 1c/1c0a, Prob: 3.60%
Recomb: 2p/1s + 0p/2s | 1c/1c2a, Prob: 3.60%
Recomb: 2p/1s + 0p/2s | 1c/2c1a, Prob: 3.60%
Recomb: 2p/1s + 0p/2s | 1c/3c0a, Prob: 3.60%
Recomb: 2p/2s + 0p/1s | 1c/1c2a, Prob: 3.60%
Recomb: 2p/2s + 0p/1s | 1c/2c1a, Prob: 3.60%
Recomb: 2p/2s + 0p/1s | 1c/3c0a, Prob: 3.60%
Recomb: 2p/2s + 0p/2s | 1c/1c1a, Prob: 3.60%
Recomb: 2p/2s + 0p/2s | 1c/2c0a, Prob: 3.60%
Recomb: 2p/2s + 0p/3s | 1c/1c0a, Prob: 3.60%
Recomb: 0p/3s + 2p/1s | 1c/0c0a, Prob: 3.10%
Recomb: 0p/3s + 2p/0s | 2c/0c0a, Prob: 3.10%
Recomb: 0p/3s + 3p/0s | 1c/0c0a, Prob: 3.10%
Recomb: 1p/2s + 1p/2s | 1c/0c0a, Prob: 3.10%
Recomb: 1p/2s + 1p/1s | 2c/0c0a, Prob: 3.10%
Recomb: 1p/2s + 2p/1s | 1c/0c0a, Prob: 3.10%
Recomb: 1p/3s + 1p/1s | 1c/0c0a, Prob: 3.10%
Recomb: 1p/3s + 1p/0s | 2c/0c0a, Prob: 3.10%
Recomb: 1p/3s + 2p/0s | 1c/0c0a, Prob: 3.10%
Recomb: 2p/1s + 0p/2s | 2c/0c0a, Prob: 3.10%
Recomb: 2p/2s + 0p/2s | 1c/0c0a, Prob: 3.10%
Recomb: 2p/2s + 0p/1s | 2c/0c0a, Prob: 3.10%
Recomb: 2p/2s + 1p/1s | 1c/0c0a, Prob: 3.10%
Recomb: 0p/3s + 2p/0s | 1c/0c2a, Prob: 2.85%
Recomb: 0p/3s + 2p/0s | 1c/1c1a, Prob: 2.85%
Recomb: 0p/3s + 2p/0s | 1c/2c0a, Prob: 2.85%
Recomb: 0p/3s + 2p/1s | 1c/0c1a, Prob: 2.85%
Recomb: 0p/3s + 2p/1s | 1c/1c0a, Prob: 2.85%
Recomb: 1p/2s + 1p/1s | 1c/0c2a, Prob: 2.85%
Recomb: 1p/2s + 1p/1s | 1c/1c1a, Prob: 2.85%
Recomb: 1p/2s + 1p/1s | 1c/2c0a, Prob: 2.85%
Recomb: 1p/2s + 1p/2s | 1c/0c1a, Prob: 2.85%
Recomb: 1p/2s + 1p/2s | 1c/1c0a, Prob: 2.85%
Recomb: 1p/3s + 1p/0s | 1c/0c2a, Prob: 2.85%
Recomb: 1p/3s + 1p/0s | 1c/1c1a, Prob: 2.85%
Recomb: 1p/3s + 1p/0s | 1c/2c0a, Prob: 2.85%
Recomb: 1p/3s + 1p/1s | 1c/0c1a, Prob: 2.85%
Recomb: 1p/3s + 1p/1s | 1c/1c0a, Prob: 2.85%
Recomb: 1p/3s + 2p/2s | 0c/0c0a, Prob: 2.85%
Recomb: 2p/1s + 0p/2s | 1c/0c2a, Prob: 2.85%
Recomb: 2p/1s + 0p/2s | 1c/1c1a, Prob: 2.85%
Recomb: 2p/1s + 0p/2s | 1c/2c0a, Prob: 2.85%
Recomb: 2p/2s + 0p/1s | 1c/0c2a, Prob: 2.85%
Recomb: 2p/2s + 0p/1s | 1c/1c1a, Prob: 2.85%
Recomb: 2p/2s + 0p/1s | 1c/2c0a, Prob: 2.85%
Recomb: 2p/2s + 0p/2s | 1c/0c1a, Prob: 2.85%
Recomb: 2p/2s + 0p/2s | 1c/1c0a, Prob: 2.85%
Recomb: 2p/2s + 3p/1s | 0c/0c0a, Prob: 2.85%
Recomb: 0p/3s + 2p/0s | 1c/0c1a, Prob: 1.55%
Recomb: 0p/3s + 2p/0s | 1c/1c0a, Prob: 1.55%
Recomb: 1p/2s + 1p/1s | 1c/0c1a, Prob: 1.55%
Recomb: 1p/2s + 1p/1s | 1c/1c0a, Prob: 1.55%
Recomb: 1p/3s + 1p/0s | 1c/0c1a, Prob: 1.55%
Recomb: 1p/3s + 1p/0s | 1c/1c0a, Prob: 1.55%
Recomb: 1p/3s + 2p/1s | 0c/0c0a, Prob: 1.55%
Recomb: 1p/3s + 3p/0s | 0c/0c0a, Prob: 1.55%
Recomb: 2p/1s + 0p/2s | 1c/0c1a, Prob: 1.55%
Recomb: 2p/1s + 0p/2s | 1c/1c0a, Prob: 1.55%
Recomb: 2p/2s + 0p/1s | 1c/0c1a, Prob: 1.55%
Recomb: 2p/2s + 0p/1s | 1c/1c0a, Prob: 1.55%
Recomb: 2p/2s + 1p/2s | 0c/0c0a, Prob: 1.55%
Recomb: 2p/2s + 2p/1s | 0c/0c0a, Prob: 1.55%
Recomb: 0p/3s + 2p/0s | 1c/0c0a, Prob: 1.00%
Recomb: 1p/2s + 1p/1s | 1c/0c0a, Prob: 1.00%
Recomb: 1p/3s + 1p/0s | 1c/0c0a, Prob: 1.00%
Recomb: 2p/1s + 0p/2s | 1c/0c0a, Prob: 1.00%
Recomb: 2p/2s + 0p/1s | 1c/0c0a, Prob: 1.00%
Recomb: 0p/3s + 3p/0s | 0c/0c0a, Prob: 0.50%
Recomb: 1p/2s + 2p/1s | 0c/0c0a, Prob: 0.50%
Recomb: 1p/3s + 2p/0s | 0c/0c0a, Prob: 0.50%
Recomb: 2p/2s + 1p/1s | 0c/0c0a, Prob: 0.50%

-------------------------------------
2p/0s
Recomb: 1p/0s + 1p/0s | 4c/0c2a, Prob: 86.00%
Recomb: 1p/0s + 1p/0s | 4c/2c0a, Prob: 86.00%
Recomb: 1p/0s + 1p/0s | 3c/0c2a, Prob: 78.50%
Recomb: 1p/0s + 1p/0s | 3c/2c0a, Prob: 78.50%
Recomb: 1p/0s + 1p/0s | 3c/3c0a, Prob: 78.50%
Recomb: 1p/0s + 1p/0s | 4c/2c1a, Prob: 74.89%
Recomb: 1p/0s + 1p/0s | 4c/0c0a, Prob: 72.00%
Recomb: 1p/0s + 1p/0s | 3c/3c1a, Prob: 70.17%
Recomb: 1p/0s + 1p/0s | 4c/1c1a, Prob: 69.33%
Recomb: 1p/0s + 1p/0s | 4c/2c2a, Prob: 69.33%
Recomb: 1p/0s + 1p/0s | 3c/2c1a, Prob: 67.39%
Recomb: 1p/0s + 1p/0s | 4c/0c1a, Prob: 65.50%
Recomb: 1p/0s + 1p/0s | 4c/1c0a, Prob: 65.50%
Recomb: 1p/0s + 1p/0s | 3c/3c2a, Prob: 65.17%
Recomb: 1p/0s + 1p/0s | 4c/1c2a, Prob: 63.78%
Recomb: 1p/0s + 1p/0s | 3c/1c1a, Prob: 61.83%
Recomb: 1p/0s + 1p/0s | 3c/2c2a, Prob: 61.83%
Recomb: 1p/0s + 1p/0s | 2c/0c2a, Prob: 60.50%
Recomb: 1p/0s + 1p/0s | 2c/2c0a, Prob: 60.50%
Recomb: 1p/0s + 1p/0s | 2c/3c0a, Prob: 60.50%
Recomb: 1p/0s + 1p/0s | 2c/4c0a, Prob: 60.50%
Recomb: 1p/0s + 1p/0s | 3c/0c1a, Prob: 58.00%
